iter	Logloss
0	0.6149129394
1	0.577706068
2	0.5493810077
3	0.5203107504
4	0.4918434897
5	0.4667199683
6	0.4541680489
7	0.4408222833
8	0.4343502628
9	0.4288844078
10	0.4230490387
11	0.4157826753
12	0.4127280914
13	0.4104851959
14	0.4074371997
15	0.4031700464
16	0.3976124144
17	0.3918207731
18	0.3909840726
19	0.3901313388
20	0.3875048814
21	0.385517696
22	0.3845364208
23	0.3821074139
24	0.380808382
25	0.3798178279
26	0.3786111378
27	0.3768263231
28	0.3763339649
29	0.3743455358
30	0.3725192027
31	0.3721905936
32	0.3714690721
33	0.370970087
34	0.3700980774
35	0.3694088485
36	0.3688590735
37	0.3679447748
38	0.3674664617
39	0.3672449482
40	0.3670996889
41	0.3665672336
42	0.3661784396
43	0.3661205736
44	0.3654594572
45	0.3651030571
46	0.3647680039
47	0.36404777
48	0.3635486746
49	0.3631806341
50	0.3629123944
51	0.3621321294
52	0.3618184047
53	0.3615664311
54	0.3613837705
55	0.361276668
56	0.3610716484
57	0.3607317602
58	0.3604648911
59	0.3603638474
60	0.3600506847
61	0.3597072064
62	0.359443768
63	0.3591278981
64	0.3589126778
65	0.3587745434
66	0.3585295145
67	0.3583205473
68	0.3581239733
69	0.3578765232
70	0.3577626853
71	0.3576242018
72	0.3574703905
73	0.357247102
74	0.3570886749
75	0.3569346332
76	0.3567471794
77	0.3566028639
78	0.3564688755
79	0.356308374
80	0.3561929675
81	0.3559260505
82	0.3557793372
83	0.3556696712
84	0.355523271
85	0.3553516683
86	0.3553373974
87	0.3551923697
88	0.3551775698
89	0.3550954619
90	0.3549519908
91	0.3549396133
92	0.3549264483
93	0.3547187031
94	0.3547067971
95	0.3546034066
96	0.3544696563
97	0.3543458463
98	0.3543361539
99	0.354325363
100	0.3542655301
101	0.3541545422
102	0.3539844045
103	0.353860347
104	0.3537550191
105	0.3537462084
106	0.3536378409
107	0.3535623507
108	0.3533869109
109	0.3532581618
110	0.353250042
111	0.3531488659
112	0.3531412199
113	0.3530180588
114	0.3528467233
115	0.3528203548
116	0.3527522816
117	0.3526479434
118	0.3525449589
119	0.3524687489
120	0.3523593622
121	0.3523511247
122	0.3522847058
123	0.3521882846
124	0.3521136912
125	0.3520232141
126	0.3519514536
127	0.3518330714
128	0.3518038577
129	0.3517992617
130	0.3516652408
131	0.3515624148
132	0.3514504547
133	0.3513359199
134	0.3512665722
135	0.3511581526
136	0.3511515364
137	0.3510262239
138	0.3509669114
139	0.3509224953
140	0.3509166535
141	0.3508519453
142	0.3508462573
143	0.3507491748
144	0.3506574094
145	0.3506387037
146	0.3505718596
147	0.3504321127
148	0.3503497938
149	0.3502564444
150	0.3501602461
151	0.350058917
152	0.3499728173
153	0.3499077003
154	0.3498082336
155	0.3497232262
156	0.3496299042
157	0.3495244995
158	0.3494274571
159	0.3493276888
160	0.3492496017
161	0.3491682826
162	0.3490687216
163	0.3489713498
164	0.3489034133
165	0.3488190952
166	0.3487711517
167	0.3487143306
168	0.3486094847
169	0.3485590595
170	0.3485078453
171	0.3484610544
172	0.3483142354
173	0.3482188449
174	0.348139836
175	0.3480950125
176	0.3480394269
177	0.347963653
178	0.3478680281
179	0.3477642238
180	0.3477327808
181	0.3476740614
182	0.3475678313
183	0.3474789291
184	0.3473900397
185	0.3473358311
186	0.3472785414
187	0.3471651764
188	0.3470977754
189	0.3470198744
190	0.3469349294
191	0.34687266
192	0.3467913719
193	0.3467279338
194	0.3466370034
195	0.3466330347
196	0.346598169
197	0.346520604
198	0.3464477875
199	0.3463868051
200	0.3463250583
201	0.3462901274
202	0.3462133798
203	0.3461326601
204	0.3460543949
205	0.345987561
206	0.3459047499
207	0.3458300899
208	0.3457512049
209	0.3456973368
210	0.3456244314
211	0.3456207372
212	0.3456039449
213	0.3456004521
214	0.3455201652
215	0.3454211147
216	0.3453882892
217	0.3453383043
218	0.3453355792
219	0.3452525119
220	0.3451828238
221	0.3450716146
222	0.3450105337
223	0.344949368
224	0.3449062011
225	0.34481713
226	0.3447202531
227	0.3446338085
228	0.3446313949
229	0.3445895713
230	0.3445319595
231	0.3444860189
232	0.3444251954
233	0.3443219581
234	0.3442958867
235	0.3442939888
236	0.3442505001
237	0.3441693003
238	0.344116304
239	0.3441134797
240	0.3440778394
241	0.3440494527
242	0.3439681429
243	0.343937139
244	0.3438114114
245	0.3437527596
246	0.3437140605
247	0.3436724577
248	0.3436703045
249	0.3436136572
250	0.3435300496
251	0.3434892209
252	0.3434305161
253	0.3433543845
254	0.3433045085
255	0.343304172
256	0.3432059324
257	0.34315098
258	0.3430908976
259	0.343000968
260	0.3429253584
261	0.3428745429
262	0.3427853885
263	0.342731099
264	0.3426769351
265	0.3426406014
266	0.3425840987
267	0.3425413631
268	0.3425159153
269	0.3424757518
270	0.3424168839
271	0.3423451172
272	0.3423023532
273	0.3422588082
274	0.3422585641
275	0.3421964715
276	0.3421251882
277	0.3420471162
278	0.3420471294
279	0.341981674
280	0.3419112355
281	0.3418637242
282	0.3418028101
283	0.3417540529
284	0.3416880453
285	0.3416593959
286	0.3415770436
287	0.3415768464
288	0.3415749507
289	0.3415442318
290	0.3414899125
291	0.3414436946
292	0.3414008014
293	0.3413990322
294	0.3413132667
295	0.3412463773
296	0.3412146946
297	0.3411888212
298	0.341158042
299	0.3410717658
300	0.3409948852
301	0.3409119281
302	0.3408549889
303	0.340783228
304	0.3407154435
305	0.3405984678
306	0.3405378382
307	0.3404685022
308	0.3404027599
309	0.3403716549
310	0.3402466463
311	0.3402054968
312	0.3401307482
313	0.34009889
314	0.3400105511
