iter	Passed	Remaining
0	5	1802
1	12	2033
2	17	1976
3	23	1935
4	30	2000
5	35	1958
6	40	1905
7	46	1914
8	50	1848
9	55	1815
10	61	1825
11	67	1826
12	74	1845
13	79	1833
14	84	1806
15	90	1808
16	95	1800
17	101	1795
18	106	1788
19	111	1773
20	116	1755
21	122	1750
22	126	1730
23	131	1712
24	135	1695
25	141	1698
26	146	1683
27	151	1667
28	157	1672
29	162	1662
30	166	1648
31	173	1656
32	179	1656
33	185	1649
34	191	1649
35	196	1643
36	204	1660
37	209	1652
38	215	1648
39	221	1646
40	226	1635
41	231	1624
42	236	1618
43	241	1608
44	247	1603
45	252	1597
46	257	1589
47	262	1583
48	269	1581
49	273	1572
50	279	1569
51	285	1564
52	290	1558
53	296	1552
54	302	1550
55	307	1543
56	312	1537
57	318	1533
58	324	1529
59	330	1526
60	337	1527
61	341	1516
62	347	1509
63	353	1509
64	359	1503
65	365	1499
66	372	1500
67	378	1498
68	387	1506
69	394	1503
70	403	1512
71	410	1509
72	416	1506
73	423	1505
74	432	1510
75	440	1513
76	446	1508
77	457	1518
78	464	1518
79	473	1521
80	481	1522
81	490	1524
82	503	1539
83	509	1534
84	518	1537
85	525	1533
86	533	1533
87	540	1527
88	555	1546
89	562	1543
90	568	1538
91	575	1533
92	581	1526
93	587	1518
94	593	1512
95	599	1503
96	605	1497
97	613	1496
98	620	1490
99	629	1491
100	637	1489
101	649	1497
102	660	1500
103	670	1502
104	685	1514
105	698	1522
106	705	1515
107	718	1523
108	730	1528
109	737	1522
110	751	1530
111	760	1528
112	768	1524
113	783	1533
114	793	1532
115	800	1524
116	808	1519
117	816	1515
118	824	1510
119	832	1505
120	840	1500
121	848	1495
122	855	1489
123	864	1485
124	874	1482
125	882	1477
126	891	1473
127	898	1467
128	906	1461
129	913	1454
130	921	1449
131	929	1443
132	937	1437
133	945	1431
134	954	1428
135	961	1420
136	968	1414
137	976	1408
138	983	1400
139	991	1394
140	997	1386
141	1006	1382
142	1013	1374
143	1021	1369
144	1028	1361
145	1036	1356
146	1043	1348
147	1049	1340
148	1057	1334
149	1063	1325
150	1072	1320
151	1078	1312
152	1089	1310
153	1095	1302
154	1103	1295
155	1110	1287
156	1117	1280
157	1125	1274
158	1132	1267
159	1139	1260
160	1146	1253
161	1155	1248
162	1163	1241
163	1170	1235
164	1177	1227
165	1187	1223
166	1197	1218
167	1205	1212
168	1215	1208
169	1222	1200
170	1232	1196
171	1239	1189
172	1248	1183
173	1255	1176
174	1264	1170
175	1271	1163
176	1280	1157
177	1287	1149
178	1293	1142
179	1301	1135
180	1308	1127
181	1316	1121
182	1323	1113
183	1332	1107
184	1339	1100
185	1349	1095
186	1356	1087
187	1365	1082
188	1372	1075
189	1382	1069
190	1389	1061
191	1398	1056
192	1405	1048
193	1413	1041
194	1420	1034
195	1430	1028
196	1436	1020
197	1444	1013
198	1450	1005
199	1459	999
200	1468	993
201	1477	987
202	1483	979
203	1492	973
204	1499	965
205	1505	957
206	1511	949
207	1517	940
208	1523	933
209	1529	924
210	1533	916
211	1540	908
212	1546	900
213	1551	891
214	1556	883
215	1562	875
216	1568	867
217	1575	859
218	1581	852
219	1590	845
220	1598	838
221	1603	830
222	1611	823
223	1616	815
224	1623	807
225	1628	800
226	1637	793
227	1643	785
228	1649	777
229	1656	770
230	1662	762
231	1669	755
232	1675	747
233	1680	739
234	1687	732
235	1693	724
236	1700	717
237	1705	709
238	1712	702
239	1722	696
240	1728	688
241	1734	680
242	1740	673
243	1746	665
244	1752	658
245	1758	650
246	1763	642
247	1770	635
248	1775	627
249	1781	619
250	1786	612
251	1791	604
252	1797	596
253	1803	589
254	1808	581
255	1812	573
256	1818	566
257	1823	558
258	1828	550
259	1834	543
260	1839	535
261	1843	527
262	1849	520
263	1854	512
264	1859	505
265	1867	498
266	1872	491
267	1880	484
268	1887	477
269	1893	469
270	1900	462
271	1905	455
272	1911	448
273	1915	440
274	1920	432
275	1926	425
276	1932	418
277	1938	411
278	1945	404
279	1952	397
280	1958	390
281	1966	383
282	1971	376
283	1979	369
284	1985	362
285	1992	355
286	1999	348
287	2004	340
288	2010	333
289	2016	326
290	2021	319
291	2028	312
292	2033	305
293	2039	298
294	2045	291
295	2051	284
296	2057	277
297	2063	270
298	2069	262
299	2076	256
300	2081	248
301	2087	241
302	2094	235
303	2100	228
304	2109	221
305	2115	214
306	2121	207
307	2128	200
308	2133	193
309	2139	186
310	2144	179
311	2150	172
312	2158	165
313	2166	158
314	2174	151
